Date,Blocks
2026-01-01,"ULISバドミントン部 08:30-11:00
医学フットサル同好会 11:00-13:30
中国留学生学友会 13:30-16:00
ULISバレーボール部 16:00-18:30
SPIKERS'inc 18:30-21:00"
2026-01-02,"SPIKERS'inc 08:30-11:00
ULISバドミントン部 11:00-13:30
ULISバレーボール部 13:30-16:00
中国留学生学友会 16:00-19:00"
2026-01-03,"中国留学生学友会 13:00-14:30
SPIKERS'inc 14:30-16:00
ULISバレーボール部 16:00-17:30
KickChat T-ACT  17:30-19:00
ULISバドミントン部 19:00-21:00"
2026-01-04,"中国留学生学友会 08:30-10:30
ULISバレーボール部 10:30-12:30
ULISバドミントン部 12:30-14:30
SPIKERS'inc 14:30-16:30
KickChat T-ACT  16:30-18:30
医学フットサル同好会 18:30-21:00"
2026-01-05,医学フットサル同好会 16:30-18:00
2026-01-06,(利用不可)
2026-01-07,(利用不可)
2026-01-08,(利用不可)
2026-01-09,(利用不可)
2026-01-10,"医学フットサル同好会 17:00-19:00
ULISバレーボール部 19:00-21:00"
2026-01-11,"ULISバレーボール部 11:00-13:00
KickChat T-ACT  13:00-15:00
ULISバドミントン部 15:00-17:00
SPIKERS'inc 17:00-19:00
中国留学生学友会 19:00-21:00"
2026-01-12,"ULISバレーボール部 08:30-10:30
ULISバドミントン部 10:30-13:00
SPIKERS'inc 13:00-15:30
中国留学生学友会 15:30-18:00"
2026-01-13,(利用不可)
2026-01-14,(利用不可)
2026-01-15,(利用不可)
2026-01-16,(利用不可)
2026-01-17,(利用不可)
2026-01-18,(利用不可)
2026-01-19,"ULISバドミントン部 08:30-10:00
医学フットサル同好会 10:00-12:00
中国留学生学友会 12:00-14:00
SPIKERS'inc 14:00-16:00
ULISバレーボール部 16:00-18:00"
2026-01-20,(利用不可)
2026-01-21,"医学フットサル同好会 13:30-15:00
中国留学生学友会 15:00-16:30
ULISバドミントン部 16:30-18:00"
2026-01-22,(利用不可)
2026-01-23,(利用不可)
2026-01-24,(利用不可)
2026-01-25,"ULISバレーボール部 11:00-13:00
SPIKERS'inc 13:00-17:00
ULISバドミントン部 17:00-19:00
中国留学生学友会 19:00-21:00"
2026-01-26,医学フットサル同好会 16:30-18:00
2026-01-27,(利用不可)
2026-01-28,(利用不可)
2026-01-29,(利用不可)
2026-01-30,(利用不可)
2026-01-31,"医学フットサル同好会 17:00-19:00
ULISバレーボール部 19:00-21:00"
